Model,Preprocessing,Accuracy,Neg_F1,Neu_F1,Pos_F1,Macro_F1,Weighted_F1
Logistic Regression,Minimal,0.8137724550898203,0.8462265935313033,0.4530386740331492,0.8667169811320755,0.7219940828988426,0.7993995948613271
Logistic Regression,Aggressive,0.8085329341317365,0.8437912191445262,0.4188034188034188,0.8626861182132651,0.7084269187204034,0.7916124854588034
SVM,Minimal,0.8107784431137725,0.845931909982689,0.4672183322724379,0.8649468892261002,0.726032377160409,0.8004819029428849
SVM,Aggressive,0.8068862275449101,0.8379052369077307,0.45666235446313064,0.8644144826541433,0.7196606913416682,0.7956952534929214
Random Forest,Minimal,0.7811377245508982,0.8035003977724742,0.3787878787878788,0.8323068309070548,0.671531702489136,0.7561286782933188
Random Forest,Aggressive,0.7791916167664671,0.8058076225045372,0.33391003460207613,0.8320220841959972,0.6572465804342035,0.750386917154925
RNN-LSTM,Minimal,0.7053892215568862,0.7817820030952908,0.3765432098765432,0.7865492393915132,0.6482914841211157,0.7256550827884207
RNN-LSTM,Aggressive,0.6462574850299401,0.8090642047838859,0.25588235294117645,0.6949267960503915,0.5866244512584846,0.6744178548459747
